id_bank,kode_bank,nama_bank,sebutan,pemilik_id,prinsip_id,is_bank_devisa,mobile_app,link_playstore
82,120,BPD SUMATERA SELATAN DAN BANGKA BELITUNG,,2,2,TRUE,Bank SumselBabel Mobile,https://play.google.com/store/apps/details?id=mlpt.siemo.mobilebankingbsb&hl=id
83,121,BPD LAMPUNG,,2,1,FALSE,Lampung Online - mBanking,https://play.google.com/store/apps/details?id=id.co.banklampung.banklampung_mbank_mobile&hl=id
84,122,BPD KALIMANTAN SELATAN,,2,2,FALSE,Aksel by Bank Kalsel,https://play.google.com/store/apps/details?id=id.co.bankkalsel.mobile_banking&hl=id
85,123,BPD KALIMANTAN BARAT,,2,2,FALSE,Mobile Banking Bank Kalbar,https://play.google.com/store/apps/details?id=com.xlink.xmobilebankingadkalbar&hl=id
86,124,BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA,,2,2,TRUE,DG By Bankaltimtara,https://play.google.com/store/apps/details?id=com.lst.Kaltimtara&hl=id
87,125,BPD KALIMANTAN TENGAH,,2,1,FALSE,Betang Mobile,https://play.google.com/store/apps/details?id=com.basys.kalteng&hl=id
88,126,BPD SULAWESI SELATAN DAN SULAWESI BARAT,,2,2,TRUE,Sulselbar Mobile,https://play.google.com/store/apps/details?id=com.dwidasa.sulselbar.mb.android&hl=id
89,127,BPD SULAWESI UTARA DAN GORONTALO,,2,1,FALSE,BSGtouch,https://play.google.com/store/apps/details?id=id.co.collega.mbanking.sulut&hl=id
90,128,BANK NTB SYARIAH,,2,3,FALSE,Bank NTB Syariah mBanking,https://play.google.com/store/apps/details?id=com.bankntbsyariah.mobilebanking
91,129,BPD BALI,,2,1,TRUE,BPD BALI Mobile,https://play.google.com/store/apps/details?id=com.dwidasa.bpdbali.mb.android&hl=id
92,130,BPD NUSA TENGGARA TIMUR,,2,1,TRUE,Be Pung Mobile,https://play.google.com/store/apps/details?id=com.dwidasa.bankntt.mb.nttmobile&hl=id
93,131,BPD MALUKU DAN MALUKU UTARA,,2,1,FALSE,Bank Maluku Malut Mobile,https://play.google.com/store/apps/details?id=mbank.maluku&hl=id
94,132,BPD PAPUA,,2,1,FALSE,Papua Mobile,https://play.google.com/store/apps/details?id=com.bankpapua.mobilebanking&hl=id
95,133,BPD BENGKULU,,2,1,FALSE,Mobile Bengkulu,https://play.google.com/store/apps/details?id=mbank.bengkulu&hl=id
96,134,BPD SULAWESI TENGAH,,2,1,FALSE,Bank Sulteng Mobile,https://play.google.com/store/apps/details?id=com.banksulteng.mobilebanking&hl=id
97,135,BPD SULAWESI TENGGARA,,2,1,FALSE,Mobile Banking Bank Sultra,https://play.google.com/store/apps/details?id=id.co.banksultra.mobilebanking&hl=id
98,137,BPD BANTEN,,2,1,FALSE,Jawara Mobile,https://play.google.com/store/apps/details?id=id.co.bankbanten.mobile_banking&hl=id
99,031,CITIBANK N.A.,,5,1,,Citi Mobile®,https://play.google.com/store/apps/details?id=com.citi.citimobile&hl=en
100,032,JP MORGAN CHASE BANK NA,,5,1,,Chase Mobile,https://play.google.com/store/apps/details?id=com.chase.sig.android&hl=en
101,033,BANK OF AMERICA N.A,,5,1,,Bank of America Mobile Banking,https://play.google.com/store/apps/details?id=com.infonow.bofa&hl=en
102,042,MUFG BANK LTD,,5,1,,MUFG Bank Card Manager,https://play.google.com/store/apps/details?id=com.mufgbank.commercial.cardmanager&hl=en
103,050,STANDARD CHARTERED BANK,,5,1,,SC Mobile Indonesia,https://play.google.com/store/apps/details?id=com.sc.breezeid.banking&hl=en
104,067,DEUTSCHE BANK AG,,5,1,,Deutsche Bank Mobile,https://play.google.com/store/apps/details?id=com.db.pwcc.dbmobile&hl=en
105,069,BANK OF CHINA (HONG KONG) LIMITED,,5,1,,BOCHK中銀香港,https://play.google.com/store/apps/details?id=com.bochk.app.aos&hl=en
106,,DOMPET ANAK BANGSA,,4,4,,GoPay,https://play.google.com/store/apps/details?id=com.gojek.gopay&hl=id
107,,AIRPAY INTERNATIONAL INDONESIA,,4,4,,ShopeePay,https://play.google.com/store/apps/details?id=com.shopeepay.id&hl=en
108,,VISIONET INTERNASIONAL,,3,4,,OVO,https://play.google.com/store/apps/details?id=ovo.id&hl=en
109,,FINTEK KARYA NUSANTARA ,,1,4,,LinkAja,https://play.google.com/store/apps/details?id=com.telkom.mwallet&hl=id&gl=id
110,,ESPAY DEBIT INDONESIA KOE,,3,4,,Dana,https://play.google.com/store/apps/details?id=id.dana&hl=en
111,,NUSA SATU INTI ARTHA,,3,4,,DOKU,https://play.google.com/store/apps/details?id=com.dokuwallet.android&hl=en
112,,BANK CENTRAL ASIA.,,3,4,,Sakuku,https://play.google.com/store/apps/details?id=com.bca.sakuku&hl=en
113,,INTI DUNIA SUKSES,,3,4,,i.saku,https://play.google.com/store/apps/details?id=com.isaku.app&hl=en
114,,SOLUSI PASTI INDONESIA,,3,4,,KasPro,https://play.google.com/store/apps/details?id=com.psi.kaspro.app&hl=en
115,,POS INDONESIA,,1,4,,POSPAY,https://play.google.com/store/apps/details?id=com.posindonesia.giropos&hl=en
